#
# Engine name: POC1
# Tue 18. Oct 18:39:38 2022
#
# Lc= 140.73327 mm	 Rc=  28.28427 mm
# R1=  15.00000 mm	 R2=  23.71320 mm
# bc=  45.00000   	 Rt=  10.00000 mm
# Le=  85.45956 mm	 Re=  25.97932 mm
# Rn=   3.82000 mm
# c1=  15.00000   	 c2=   5.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   28.28427
    2.26193	   28.28427
    4.52386	   28.28427
    6.78578	   28.28427
    9.04771	   28.28427
   11.30964	   28.28427
   13.57157	   28.28427
   15.83350	   28.28427
   18.09543	   28.28427
   20.35735	   28.28427
   22.61928	   28.28427
   24.88121	   28.28427
   27.14314	   28.28427
   29.40507	   28.28427
   31.66700	   28.28427
   33.92892	   28.28427
   36.19085	   28.28427
   38.45278	   28.28427
   40.71471	   28.28427
   42.97664	   28.28427
   45.23857	   28.28427
   47.50049	   28.28427
   49.76242	   28.28427
   52.02435	   28.28427
   54.28628	   28.28427
   56.54821	   28.28427
   58.81014	   28.28427
   61.07206	   28.28427
   63.33399	   28.28427
   65.59592	   28.28427
   67.85785	   28.28427
   70.11978	   28.28427
   72.38170	   28.28427
   74.64363	   28.28427
   76.90556	   28.28427
   79.16749	   28.28427
   81.42942	   28.28427
   83.69135	   28.28427
   85.95327	   28.28427
   88.21520	   28.28427
   90.47713	   28.28427
   92.73906	   28.28427
   95.00099	   28.28427
   97.26292	   28.28427
   99.52484	   28.28427
  101.78677	   28.28427
  104.04870	   28.28427
  106.31063	   28.28427
  108.57256	   28.18577
  110.83449	   27.86850
  113.09641	   27.32308
  115.35834	   26.53251
  117.62027	   25.46900
  119.88220	   24.08796
  122.14413	   22.31542
  124.40606	   20.11401
  126.66798	   17.85208
  128.92991	   15.59015
  131.19184	   13.42584
  133.45377	   11.88478
  135.71570	   10.86409
  137.97762	   10.25529
  140.23955	   10.00813
  140.73327	   10.00000
  142.99520	   10.47004
  145.25712	   11.06765
  147.51905	   11.65718
  149.78098	   12.23853
  152.04291	   12.81156
  154.30484	   13.37614
  156.56676	   13.93214
  158.82869	   14.47944
  161.09062	   15.01789
  163.35255	   15.54736
  165.61448	   16.06771
  167.87641	   16.57878
  170.13833	   17.08044
  172.40026	   17.57254
  174.66219	   18.05491
  176.92412	   18.52741
  179.18605	   18.98986
  181.44798	   19.44204
  183.70990	   19.88382
  185.97183	   20.31505
  188.23376	   20.73550
  190.49569	   21.14494
  192.75762	   21.54328
  195.01955	   21.93020
  197.28147	   22.30557
  199.54340	   22.66912
  201.80533	   23.02067
  204.06726	   23.35994
  206.32919	   23.68677
  208.59112	   24.00080
  210.85304	   24.30185
  213.11497	   24.58969
  215.37690	   24.86396
  217.63883	   25.12439
  219.90076	   25.37074
  222.16268	   25.60269
  224.42461	   25.81992
  226.19283	   25.97932
